ID	Ki67.Syn.prct	Ki67.Gcg.prct	Ki67.Syn.intraislet.prct 	alpha.cells 	Ki67.alpha.cells 	Ki67.alpha.cells.prct	Ki67.PP.prct	Ki67.Sst.prct	Ki67.Grh.prct	Ki67.Sox9.prct.1 	Ki67.Sox9.prct.2	islet.mass
6200	2.83	0.62										
6214	2.11	8.15										
6164	8.68	4.93										
6218	1.36	2.56										
6222	0.87	1.77										
6117	0.20	0.65										
6115	0.27	0.16										
6092	3.84	8.93										
6103	1.28	2.06		21.1188118811881	2.06282231598687							
6107	4.93	6.73		29.4454545454545	6.73047236801482							
6094	0.07	0.14		30.3698630136986	0.13531799729364							
6106	0.10	0.23		29.3695652173913	0.234394275845053							
6005	0.09	0.00		9.27102803738318	0							
6112	0.32	1.05		35.447619047619	1.04782375067168							
6007	0.37	2.56		26.2920353982301	2.55806125883541							
6278	0.40	0.99		50.3787878787879	0.992481203007519							
6232	0.80	1.46	87.34	14.5555555555556	1.45732130464955	22.2222222222222						1.06995165278641
6233	0.72	1.10	89.07	14.1333333333333	1.10062893081761	20.5882352941176	0	0.29693924166286	0			1.65753120560731
6099	0.06	0.04		75.327868852459	0.043525571273123			0		0.153846153846154	33.3333333333333	3.00918030687258
6153	0.91	2.38	67.69	25.6101694915254	2.38252812706817	17.6470588235294	0.692383778437191	0.195525686578604	0	3.97111913357401	78.5714285714286	1.60689140393923
6075	1.12	1.79	75.47	68	1.79144385026738	14.1304347826087	0.526315789473684	0.176620142925933	0	3.2051282051282	55.5555555555556	0.689504475408854
6096	0.15	0.14		51.8095238095238	0.137867647058824		0	0.073511224238403	0	0.182815356489945	100	0.954717351048562
6230	1.06	3.40	95.03	13.2582781456954	3.3966033966034	48.9208633093525						1.40422448183061
6227	0.09	0.12		15.2592592592593	0.121359223300971							0.905963258629526
6271	0.01	0.05		10.7107843137255	0.045766590389016							1.09044731077315
6098	0.05	0.02		55.974358974359	0.022904260192396		0	0	0	0.168918918918919	100	2.75594207015341
6253	0.28	0.30		9.39444444444444	0.295683027794205							1.13923090238063
6279	2.19	2.06	93.4256055363322	8.02255639097744	2.06185567010309	17.4603174603175				10.3566194430874	81.8532818532819	0.96971247137087
6234	0.10	0.94		22.7197802197802	0.94316807738815							0.60748656735
6238	0.01	0.05		16.64453125	0.046937338652898							2.35718647997429
6174	0.01	0.10		21.0769230769231	0.104275286757039							1.19239218428571
6024	0.02	0.00		18.28125	0							
6179	0.48	0.53	86.1111111111111	25.8909090909091	0.526685393258427	17.4418604651163						0.736022015446541
6001	0.00	0.07		39.2233676975945	0.070089363939022							
6057	0.49	0.18	85.3658536585366	30.2162162162162	0.178890876565295	17.3913043478261						2.48507552190261
6162	0.02	0.43		30.8867924528302	0.427611484422724							0.817887509949259
6003	0.09	0.18		39.1297709923664	0.175575497463909							
6029	0.01	0.02		28.7741935483871	0.018684603886398							1.12667080307826
6131	2.20	3.38	92.7184466019417	64.8333333333333	3.3847472150814	35.4260089686099						2.16580036480769
6053	0.07	0.37		47.4189189189189	0.370475919065261							
6126	0.12	0.89		16.3548387096774	0.887573964497041							0.911388674604316
6058	0.07	0.04		37.9661016949152	0.044642857142857							1.21911612068591
6048	0.02	0.00		32.4545454545455	0							1.67980837267857
6235	1.40	1.08	89.8477157360406	60.4180790960452	1.07536936599963	30.4232804232804						1.67695076228333
6030	0.59	1.39	81.6666666666667	23.7272727272727	1.38888888888889	28.4313725490196						1.27136313171818
6229	0.04	0.06		45.3715170278638	0.061412487205732							1.0652480220274
6035	0.01	0.00		8.03095975232198	0							1.42822749791736
6004	0.84	1.96	96.2162162162162	31.6666666666667	1.96301564722617	17.6020408163265						
6002	0.12	0.08		34.9788732394366	0.080531507952486							
6015	0.02	0.00		44.5826086956522	0							
6009	0.57	0.42		40.2641509433962	0.42174320524836							
6011	0.02	0.02		31.3701298701299	0.020699648105982							
6010	0.00	0.00		20.394495412844	0							
6008	0.03	0.00		32.3269230769231	0							
6168	0.37	0.23		17.1089108910891	0.231481481481481							1.1575356710835
6017	0.00	0.00		23.5546875	0							
6020	0.04	0.00		31.1830985915493	0							
6016	0.00	0.01		25.4110787172012	0.011473152822396							
6013	0.00	0.00		24.9465240641711	0							
6063	0.00	0.04		47.2574850299401	0.017964071856288							
6209	0.14	0.06		35.4635761589404	0.019867549668874							
6062	0.32	0.81		33.0258620689655	0.267241379310345							
6265	0.11	0.00		19.6101694915254	0							
6052	10.62	0.64	94.0959409594096	72.4423076923077	0.461538461538462	3.43347639484979	0	0.442163861505436	0	12.8700128700129	81.9672131147541	
6268	0.65	0.77	62.9213483146067	31.8802816901408	0.246478873239437	29.4117647058824						
6264	0.26	0.07		21.0823970037453	0.01498127340824							
6228	1.04	0.95	60.2666666666667	38.5282392026578	0.365448504983389	26.0047281323877						
6243	0.11	0.17		26.6444444444444	0.044444444444445							
6113	1.75	0.32	82.1917808219178	72.5	0.232142857142857	37.5	0	0	0	3.74449339207048	60.7142857142857	
6084	2.99	1.62	91.3183279742765	29.7241379310345	0.482758620689655	41.7177914110429	0	0.154939538902883	0	12.2710622710623	74.4444444444444	
6089	0.19	0.10		80.2083333333333	0.083333333333333		0	0	0	0.234466588511137	15.3846153846154	0.210927689703366
6049	0.22	0.00		86.6304347826087	0		0	0.077873405305425	0	0.579710144927536	50	0.312275056990384
6083	0.17	0.00		59.6785714285714	0		0	0.050641090890124	0			0.579644231493761
6207	0.08	0.10		32.625	0.032894736842105							0.141098928875912
6261	6.39	3.93	76.5171503957784	71.2541254125413	2.7986798679868	42.6559356136821						
