ID	Ki67.Syn.prct	Ki67.Gcg.prct	Ki67.Syn.intraislet.prct 	alpha.cells 	Ki67.alpha.cells 	Ki67.alpha.cells.prct	Ki67.PP.prct	Ki67.Sst.prct	Ki67.Grh.prct	Ki67.Sox9.prct.1 	Ki67.Sox9.prct.2	islet.mass
6026	0.05	0.00		51.2285714285714	0							0.884526215975023
6070	0.05	0.02		122.806896551724	0.020689655172414							0.242863183729006
6069	0.07	0.00		19.5	0							1.73447728747136
6025	0.01	0.06		16.3263157894737	0.010526315789474							
6247	0.00	0.01		31.06463878327	0.003802281368821							0.357457056281961
6211	0.18	0.03		32.9668508287293	0.011049723756906							0.252793316947368
6196	0.20	0.28		15.4700854700855	0.042735042735043							0.281806970452711
6041	0.03	0.12		46.3333333333333	0.055555555555556							0.269759632731655
6039	0.02	0.09		28.3846153846154	0.025641025641026							0.713048096843835
6088	0.00	0.00		30.2344827586207	0							0.438683134067514
6081	0.05	0.00		12.6212121212121	0							0.369239402286392
6035	0.02	0.12		26.4375	0.03125							0.700897051342404
6054	0.00	0.01		104.462686567164	0.014925373134328							0.320824552343137
6038	0.02	0.00		51.9593023255814	0							0.450859499565026
6031	0.00	0.00		53	0							0.388288552565083
6150	0.09	0.00		38.7142857142857	0							0.285162954662243
6135	0.09	0.07		71.3759398496241	0.052631578947369							0.099643611188328
6036	0.01	0.00		51.21875	0							0.694571832094933
6138	0.00	0.07		19.8055555555556	0.013888888888889							0.403241129833192
6040	0.00	0.00		54.8	0							0.395703747938202
