ID	Ins.cells	TUNEL.Ins.cells	Ins.cells	Ki67.Ins.cells	Arx.cells	Ki67.Arx.cells	Nkx61.Arx.cells	Ins.Gcg.cells	beta.area	beta.mass
6148	NA	NA	250	0	184265	0.084660679	NA	NA	0.098951726	0.026083675
6087	0	X	0	0	115544	0.123762376	NA	NA	0	0
6145	NA	NA	0	0	86870	0.048348106	NA	NA	0	0
6237	NA	NA	34	0	534210	0.555961139	NA	NA	0.008718071	0.002834245
6195	NA	NA	0	0	70968	0.095817833	NA	NA	0	0
6161	NA	NA	766	0	95585	0.708270126	NA	NA	0	0
6064	0	X	0	0	18900	0.767195767	NA	NA	0	0
6212	NA	NA	148	0	528940	0.309486898	NA	NA	0.045117671	0.019626187
6224	NA	NA	2	0	350662	0.75	NA	NA	0	0
6198	NA	NA	9	0	134825	0.61	NA	NA	0.007242621	NA
6245	NA	NA	2600	0.038461538	363326	0.79	X	NA	0.603107389	0.190461313
6026	0	X	0	0	35301	0.12	NA	NA	0	0
6070	4071	X	4591	0.021781747	104927	0.11	NA	NA	0.159427059	0.06233598
6069	2057	X	1302	0.076804916	9024	0.38	X	NA	1.722752474	0.959573128
6025	NA	NA	0	0	60693	1.71	NA	NA	0	NA
6211	NA	NA	0	0	359180	0.74	NA	NA	0	0
6247	NA	NA	80	0	180725	0.19	NA	NA	0.026975271	0.016123119
6196	NA	NA	581	0	238224	0.47	NA	NA	0.297414244	0.083841075
6041	NA	NA	8	0	38392	0.35	NA	X	0	0
6039	NA	NA	0	0	28234	0.47	NA	NA	0	0
6088	NA	NA	13	0	103595	0.06	NA	NA	0.032589585	0.010428667
6081	1047	X	833	0	50480	0.57	NA	NA	0.272740028	0.170271599
6035	NA	NA	2	0	23641	0.16	NA	NA	0	0
6054	NA	NA	0	0	22310	0.88	NA	NA	0	0
6038	NA	NA	9092	0	57272	0.17	X	NA	0.722321574	0.285317022
6031	NA	NA	0	0	86595	0.18	NA	NA	0	0
6150	NA	NA	0	0	30256	0.37347964	NA	NA	0.045086041	0.012236352
6135	NA	NA	0	0	83847	0.567700693	NA	NA	0.384808306	0.120791327
6036	NA	NA	0	0	21195	1.009672092	NA	NA	0	0
6138	NA	NA	5	0	52404	1.400656438	NA	NA	0	0
6040	NA	NA	12	0	18239	0.679861835	NA	X	0	0
